h_AGL,a_m_s2,rho_kg_m3,p_kg_m_s2,T_k
735.678391959799,337.458552425234,1.14079002525851,92793.7142491961,283.368090452261
741.708542713568,337.43521268355,1.14011861518873,92726.2728253068,283.328894472362
747.738693467337,337.411871327389,1.13944750746831,92658.8710966998,283.289698492462
753.768844221105,337.388528356416,1.1387767020029,92591.5090454982,283.250502512563
759.798994974874,337.365183770297,1.13810619869818,92524.186653831,283.211306532663
765.829145728643,337.341837568695,1.13743599745982,92456.9039038322,283.172110552764
771.859296482412,337.318489751276,1.13676609819353,92389.6607776419,283.132914572864
777.889447236181,337.295140317704,1.13609650080503,92322.4572574056,283.093718592965
783.91959798995,337.271789267643,1.13542720520004,92255.2933252744,283.054522613065
789.949748743719,337.248436600758,1.13475821128431,92188.1689634047,283.015326633166
795.979899497487,337.225082316712,1.13408951896362,92121.0841539591,282.976130653266
802.010050251256,337.20172641517,1.13342112814373,92054.0388791051,282.936934673367
808.040201005025,337.178368895795,1.13275303873046,91987.0331210162,282.897738693467
814.070351758794,337.155009758251,1.13208525062962,91920.0668618713,282.858542713568
820.100502512563,337.131649002203,1.13141776374703,91853.1400838548,282.819346733668
826.130653266332,337.108286627312,1.13075057798854,91786.2527691568,282.780150753769
832.1608040201,337.084922633244,1.13008369326003,91719.4048999732,282.740954773869
838.190954773869,337.06155701966,1.12941710946736,91652.5964585048,282.70175879397
844.221105527638,337.038189786225,1.12875082651644,91585.8274269587,282.66256281407
850.251256281407,337.014820932602,1.12808484431317,91519.097787547,282.623366834171
856.281407035176,336.991450458452,1.1274191627635,91452.4075224878,282.584170854271
862.311557788945,336.96807836344,1.12675378177335,91385.7566140043,282.544974874372
868.341708542714,336.944704647227,1.12608870124871,91319.1450443257,282.505778894472
874.371859296482,336.921329309477,1.12542392109553,91252.5727956866,282.466582914573
880.402010050251,336.897952349851,1.12475944121983,91186.039850327,282.427386934673
886.43216080402,336.874573768013,1.12409526152761,91119.5461904928,282.388190954774
892.462311557789,336.851193563624,1.1234313819249,91053.091798435,282.348994974874
898.492462311558,336.827811736347,1.12276780231774,90986.6766564107,282.309798994975
904.522613065327,336.804428285844,1.12210452261219,90920.3007466819,282.270603015075
910.552763819096,336.781043211775,1.12144154271434,90853.9640515168,282.231407035176
916.582914572864,336.757656513805,1.12077886253026,90787.6665531888,282.192211055276
922.613065326633,336.734268191593,1.12011648196608,90721.4082339771,282.153015075377
928.643216080402,336.710878244801,1.11945440092792,90655.1890761659,282.113819095477
934.673366834171,336.687486673091,1.11879261932193,90589.0090620457,282.074623115578
940.70351758794,336.664093476125,1.11813113705425,90522.868173912,282.035427135678
946.733668341708,336.640698653563,1.11746995403107,90456.7663940661,281.996231155779
952.763819095477,336.617302205066,1.11680907015857,90390.7037048146,281.957035175879
958.793969849246,336.593904130295,1.11614848534297,90324.68008847,281.91783919598
964.824120603015,336.570504428912,1.11548819949049,90258.6955273502,281.87864321608
970.854271356784,336.547103100577,1.11482821250737,90192.7500037785,281.839447236181
976.884422110553,336.52370014495,1.11416852429986,90126.8435000839,281.800251256281
982.914572864322,336.500295561692,1.11350913477425,90060.975998601,281.761055276382
988.944723618091,336.476889350463,1.11285004383681,89995.1474816696,281.721859296482
994.974874371859,336.453481510924,1.11219125139386,89929.3579316355,281.682663316583
1001.00502512563,336.430072042734,1.11153275735172,89863.6073308498,281.643467336683
1007.0351758794,336.406660945554,1.11087456161673,89797.8956616691,281.604271356784
1013.06532663317,336.383248219044,1.11021666409524,89732.2229064557,281.565075376884
1019.09547738693,336.359833862863,1.10955906469363,89666.5890475772,281.525879396985
1025.1256281407,336.336417876671,1.10890176331827,89600.994067407,281.486683417085
1031.15577889447,336.313000260127,1.10824475987559,89535.4379483237,281.447487437186
1037.18592964824,336.289581012892,1.10758805427199,89469.920672712,281.408291457286
1043.21608040201,336.266160134623,1.10693164641392,89404.4422229615,281.369095477387
1049.24623115578,336.242737624981,1.10627553620782,89339.0025814678,281.329899497487
1055.27638190955,336.219313483624,1.10561972356017,89273.6017306316,281.290703517588
1061.30653266332,336.195887710212,1.10496420837746,89208.2396528597,281.251507537688
1067.33668341709,336.172460304403,1.10430899056618,89142.9163305637,281.212311557789
1073.36683417085,336.149031265856,1.10365407003285,89077.6317461615,281.173115577889
1079.39698492462,336.125600594229,1.10299944668402,89012.385882076,281.13391959799
1085.42713567839,336.102168289181,1.10234512042623,88947.1787207358,281.09472361809
1091.45728643216,336.07873435037,1.10169109116605,88882.0102445751,281.055527638191
1097.48743718593,336.055298777455,1.10103735881007,88816.8804360333,281.016331658291
1103.5175879397,336.031861570093,1.10038392326488,88751.7892775558,280.977135678392
1109.54773869347,336.008422727943,1.0997307844371,88686.7367515931,280.937939698492
1115.57788944724,335.984982250662,1.09907794223336,88621.7228406016,280.898743718593
1121.608040201,335.961540137909,1.09842539656033,88556.7475270429,280.859547738693
1127.63819095477,335.93809638934,1.09777314732465,88491.8107933843,280.820351758794
1133.66834170854,335.914651004614,1.09712119443302,88426.9126220985,280.781155778894
1139.69849246231,335.891203983387,1.09646953779213,88362.0529956639,280.741959798995
1145.72864321608,335.867755325317,1.0958181773087,88297.2318965641,280.702763819095
1151.75879396985,335.844305030061,1.09516711288946,88232.4493072885,280.663567839196
1157.78894472362,335.820853097277,1.09451634444115,88167.705210332,280.624371859296
1163.81909547739,335.79739952662,1.09386587187055,88102.9995881951,280.585175879397
1169.84924623116,335.773944317748,1.09321569508443,88038.3324233833,280.545979899497
1175.87939698492,335.750487470318,1.09256581398959,87973.7036984082,280.506783919598
1181.90954773869,335.727028983986,1.09191622849285,87909.1133957865,280.467587939698
1187.93969849246,335.703568858408,1.09126693850102,87844.5614980408,280.428391959799
1193.96984924623,335.680107093241,1.09061794392096,87780.0479876989,280.389195979899
1200,335.656643688141,1.08996924465954,87715.5728472942,280.35
